canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
container__stockholm_2021_dust_ii_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Stockholm 2021 Dust II Souvenir Package,Stockholm 2021 Dust II Souvenir Package,,,,,,Base Grade,,False,False,crate-4811,4811,,,Souvenir
container__stockholm_2021_finalists_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Stockholm 2021 Finalists Autograph Capsule,Stockholm 2021 Finalists Autograph Capsule,,,,,,Base Grade,,False,False,crate-4817,4817,,,Autograph Capsule
container__stockholm_2021_inferno_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Stockholm 2021 Inferno Souvenir Package,Stockholm 2021 Inferno Souvenir Package,,,,,,Base Grade,,False,False,crate-4809,4809,,,Souvenir
container__stockholm_2021_legends_patch_pack,csgo_api_reference,container,Patch Capsule,Patch Capsule,Stockholm 2021 Legends Patch Pack,Stockholm 2021 Legends Patch Pack,,,,,,Base Grade,,False,False,crate-4806,4806,,,Patch Capsule
container__stockholm_2021_legends_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Stockholm 2021 Legends Sticker Capsule,Stockholm 2021 Legends Sticker Capsule,,,,,,Base Grade,,False,False,crate-4803,4803,,,Sticker Capsule
container__stockholm_2021_mirage_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Stockholm 2021 Mirage Souvenir Package,Stockholm 2021 Mirage Souvenir Package,,,,,,Base Grade,,False,False,crate-4810,4810,,,Souvenir
container__stockholm_2021_nuke_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Stockholm 2021 Nuke Souvenir Package,Stockholm 2021 Nuke Souvenir Package,,,,,,Base Grade,,False,False,crate-4814,4814,,,Souvenir
container__stockholm_2021_overpass_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Stockholm 2021 Overpass Souvenir Package,Stockholm 2021 Overpass Souvenir Package,,,,,,Base Grade,,False,False,crate-4812,4812,,,Souvenir
container__stockholm_2021_vertigo_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Stockholm 2021 Vertigo Souvenir Package,Stockholm 2021 Vertigo Souvenir Package,,,,,,Base Grade,,False,False,crate-4815,4815,,,Souvenir
container__sugarface_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Sugarface Capsule,Sugarface Capsule,,,,,,Base Grade,,False,False,crate-4282,4282,,,Sticker Capsule
